"t";"G";"B";"R"
0;1;1.5;0.25
1;0.191468866455802;0.808143058427265;0.506079496134491
2;0.095897775274098;0.249572542498298;0.353324710583367
3;0.125453914772805;0.0900476325552633;0.174670062387196
4;0.240411181870291;0.0423093762095387;0.0852626525813032
5;0.507460889980844;0.0280389166022049;0.0479771012281872
6;1.00228144815731;0.0283083083304607;0.0340395659073844
7;1.65515587789262;0.0416389792658708;0.0303164883607062
8;2.20456523947806;0.0773381811776952;0.031769712756494
9;2.46973532678507;0.159191608078137;0.0375285301320699
10;2.43514367950639;0.332908735996661;0.050886124215757
11;2.07607576186891;0.652559928284977;0.0858223474450911
12;1.33624064881546;1.02489913069632;0.190629446300417
13;0.540211818691017;0.907923895064185;0.396712737028014
14;0.245862268057546;0.414868570343164;0.412702130156789
15;0.234592442729663;0.172667243419742;0.263422778097008
16;0.358697847144575;0.0902132020124986;0.152905013004095
17;0.644485714977648;0.0661798799692473;0.0987324797081205
18;1.11873673844219;0.0708338798585444;0.0775842142981229
19;1.66844778729119;0.103312769453767;0.0742173814313667
20;2.06358985910851;0.179965363122506;0.0833883570038822
21;2.15842320942096;0.330860770207065;0.109220544317035
22;1.91436793817541;0.572267787379169;0.172273698057225
23;1.35269130552623;0.785771318457374;0.322304195926659
24;0.736639055563282;0.659094593031968;0.538301579380325
25;0.438664124453657;0.334299557652655;0.552205515920279
26;0.414483422168486;0.15780369363034;0.396545258314363
27;0.561937674705777;0.0935651919201357;0.266336346385968
28;0.874174359113576;0.0767337361815937;0.197296087587179
29;1.31778662319244;0.0862874011578036;0.171323199667066
30;1.75268782109775;0.121773503572937;0.173119571459825
31;2.01423441862813;0.191822186828369;0.198406543345557
32;2.03110462355772;0.302390558662276;0.255048034274773
33;1.81141247111731;0.426947884953538;0.36402896094424
34;1.42620239825076;0.471929639831266;0.537153809448141
35;1.04188465131313;0.367750011328141;0.692861191414022
36;0.819831993806994;0.219361292418749;0.697367611442865
37;0.787811819537081;0.12729868357426;0.588127364884701
38;0.912335353231949;0.0862239608570021;0.475495061782683
39;1.15738585884777;0.0726741464538792;0.403896137291784
40;1.46229486828488;0.0748666677747577;0.373567949395549
41;1.73799135153605;0.0885389945793405;0.375346203900259
42;1.91289958577958;0.11154759076835;0.402642208862793
43;1.96589451655143;0.139903604654438;0.452588174217981
44;1.91415345010233;0.165096688399992;0.522853251623173
45;1.79224873051787;0.175506526295953;0.605606118845198
46;1.64268221710622;0.164356992330029;0.682589613837131
47;1.50807812779416;0.137022234435545;0.730853871035688
48;1.42006237938114;0.106187755005675;0.739244451252181
49;1.39255828979512;0.0809992227278141;0.716128566195868
50;1.42311752374217;0.0638163015910745;0.679606766362786
51;1.49765659920661;0.053354415762573;0.644972184950139
52;1.59543800732569;0.047613674073012;0.620196979677483
53;1.69472702258174;0.0449391472436593;0.607350271805026
54;1.7785327289258;0.0441145215436886;0.605295450184964
55;1.83789918583156;0.0442270602964284;0.611607750617316
56;1.87154277963653;0.0445667932991714;0.623543066203552
57;1.88325255559365;0.0446019564584574;0.638440039579675
58;1.87911450266245;0.0439995435971345;0.653903277923754
59;1.86557511287383;0.0426426319345252;0.667952069125289
60;1.84836582068732;0.0406089764523548;0.679173016213672
61;1.83198642639772;0.0381063759259603;0.686827801776353
62;1.81950906007794;0.0353889305978317;0.690852984733845
63;1.81258745431981;0.03268606560009;0.691732763034312
64;1.81162078355572;0.0301630394091303;0.690284600221595
65;1.81603214564857;0.0279127266736726;0.687428826725683
66;1.82461143142095;0.0259672123847856;0.684004204226238
67;1.8358639861947;0.0243166658034063;0.680658897639712
68;1.84831032493176;0.0229273136207526;0.677814307190411
69;1.86069926919055;0.0217551231017304;0.675681144078567
70;1.87212147024578;0.020754835315165;0.674303484675909
71;1.88203361616144;0.0198852431654274;0.673611367785912
72;1.89021844365209;0.0191118156494131;0.673469805608335
73;1.89670974180563;0.0184075705009927;0.67371837399781
74;1.90170731320473;0.0177528390560771;0.674199733116515
75;1.90549880717872;0.0171343710235384;0.674777726862824
76;1.90839726280503;0.016544101064026;0.67534674256857
77;1.91069705852168;0.015977815884268;0.675834344646952
78;1.91264718087152;0.0154338947937575;0.676199176911177
79;1.91443884013223;0.0149122360970412;0.676425940318359
80;1.9162038317012;0.0144134256646541;0.676518971908215
81;1.91802012548949;0.0139381569648423;0.676495616534216
82;1.91992160914986;0.0134868779347644;0.676380228068912
83;1.92190951015801;0.0130596207306466;0.676199297142634
84;1.92396366715422;0.0126559638215414;0.675977908058723
85;1.92605243937133;0.0122750786573049;0.675737502349505
86;1.92814059218936;0.0119158212379336;0.675494776546627
87;1.9301949415193;0.0115768390453032;0.675261463827555
88;1.93218786656594;0.0112566736674513;0.675044728842799
89;1.93409900742206;0.0109538477898977;0.674847925566922
90;1.93591556748275;0.0106669315873762;0.674671511116889
91;1.93763165649826;0.0103945879272717;0.67451396277392
92;1.93924707355217;0.0101355985170764;0.674372596871971
93;1.94076585404223;0.00988887448462561;0.67424423470758
94;1.94219482283783;0.00965345531257577;0.674125695643968
95;1.94354230841923;0.00942850010251284;0.674014124325227
96;1.94481709906216;0.00921327469083191;0.67390717423137
97;1.94602768841762;0.00900713585985778;0.673803073284282
98;1.94718177780951;0.00880951628187615;0.673700609709277
99;1.94828600377999;0.00861991088948848;0.67359906471688
100;1.94934585323855;0.00843786472516368;0.673498115977873
