t;R;G;B
29;0.46413867131976;0.0506048367332934;0.0299281450039701
30;0.355018086284813;0.0147974238072366;0.0787071982433267
31;0.225230612384939;0.0316264912607467;0.0823783709599948
32;0.149944613816157;0.0146062679514956;0.0258844634402173
33;0.0558616227661723;0.0351849310368491;0.108493201713541
34;0.023813608336356;0.0670564939075198;0.082089186460284
35;0.0500362705982689;0.119580241346521;0.0801114585681937
36;0.0142337591044104;0.157086000529355;0.160845399025595
37;0.0630079109115684;0.32993010557685;0.299850016174726
38;0.0760726784366392;0.566669280763839;0.252779112056543
39;0.115448334003196;0.825974649792669;0.352295340698552
40;0.137911597768868;0.998813853407966;0.487535657919244
41;0.158500063718619;0.718640636794071;0.408500063718619
42;0.145244140337807;0.78810128319495;0.487349403495701
43;0.197777690641205;0.748534471772652;0.378228818460754
44;0.327388712981933;0.549193224260129;0.43265187087667
45;0.400598955014655;0.517140308398114;0.42879444373646
46;0.515167481938222;0.287728774347864;0.274570879611022
47;0.460563076530962;0.244397662997128;0.460567977963161
48;0.627763182401898;0.144680475634981;0.460469949319191
49;0.999850506317946;0.0637651821862348;0.217895619099901
50;0.66517581437296;0.044870161061062;0.161411514444521
51;0.36245110821382;0.0147116487437629;0.270340943623727
52;0.127390673554813;0.0108542216035528;0.270242914979757
53;0.157372734312966;0.0220343884483047;0.0803050651400341
54;0.0651694425111018;0.0463626471655016;0.0614002411504642
55;0.0631966160512103;0.0707154130436916;0.130865788983541
56;0.0668628873356794;0.0668628873356794;0.619494466283048
57;0.123165638999716;0.126925037495956;0.512263383360618
58;0.0929924223858212;0.149378498397232;0.673814588622796
59;0.128613580888336;0.196282753820666;0.357936889159012
60;0.220620815402261;0.237538108635343;0.699949025105136
61;0.18294350609248;0.286326964739097;0.942337100900883
62;0.459156365489996;0.248630049700522;0.998630049700522
63;0.645153463842135;0.12636137279313;0.539895207379596
64;0.853702051739518;0.0454362764799874;0.212729509562694
65;0.385568713177991;0.0209021576104538;0.513388262050171
66;0.368553391300938;0.0226887296468028;0.242613541676878
67;0.244405015145425;0.0150719040103517;0.210560625814863
68;0.127765633117997;0.0375400692082228;0.454838203723128
69;0.127677407338424;0.0487300389173717;0.351351815000343
