t;R;G;B
41;0.167015479829879;0.0140447128644787;0.0537010322378109
42;0.101814825057741;0.00832666851039332;0.0508233236413105
43;0.113097685126358;0.0536150747083048;0.0167766673892082
44;0.130050004858469;0.0620688108710115;0.0309036004993011
45;0.0478671320830875;0.0337028261340788;0.0761994812649958
46;0.0506439340145157;0.112966880190153;0.0789688086286411
47;0.00809495690911666;0.11291082093178;0.081749347843961
48;0.02788013783103;0.217670625696069;0.118524221336901
49;0.0278352904243313;0.192137502148938;0.0674916097976634
50;0.013618662500841;0.461203255921726;0.143926539947828
51;0.0107372166204489;0.565978009821582;0.158042261206246
52;0.0106923692137502;0.761393109943418;0.189155149603474
53;-0.000687660236046828;0.996479478574152;0.206103732051694
54;0.0247632430654698;0.996434631167453;0.288211859149245
55;0.0530432702728965;0.673436133555577;0.449643836845134
56;0.0954876034293315;0.786709471024838;0.455257237250256
57;0.0841075739795345;0.103937602308146;0.483537264457683
58;0.282363009858955;0.341853094844791;0.463666126006264
59;0.477781847264682;0.276648702788761;0.809226606471481
60;0.681703005523706;0.0811364332857454;0.321925897134998
61;0.928113344345863;0.00459685918661767;0.132075612727694
62;0.998886289400316;0.0668749579555563;0.0470449296269444
63;0.661727223123323;0.00450716437322018;0.0271700538916337
64;0.565361357979475;0.00162198120893642;0.0214520095375483
65;0.256534640884391;0.0100719800877513;0.0384043292696601
66;0.290480390471421;0.0213585774402594;0.0411886057688713
67;0.310265571393334;0.00432030017864227;0.0468132180256677
68;0.205397385396189;0.0212651453429704;0.0212651453429704
69;0.140196730624052;0.0552146322138922;0.0155508382727769
70;0.108990410129534;0.026837435625285;0.0749960758519137
71;0.0211268658389827;0.0777840896350168;0.0607869224962065
72;0.09756927055693;0.13156360483455;0.0692406586589129
73;0.0323574039331174;0.157014508136067;0.137180742523563
74;0.0493134609491206;0.261778050184248;0.162627908541189
75;0.0549343359220253;0.273060910252865;0.159746462660797
76;0.0435505691883367;0.338171870211605;0.173862183919215
77;0.0689977352059616;0.610074222458086;0.227637961834857
78;0.156771584683116;0.819661103096714;0.292748921793597
79;0.202052516313244;0.672307473820327;0.360692742942139
80;0.29548835088611;0.352141837398252;0.343643253828847
81;0.720365207381883;0.131133817187021;0.275609737866908
82;0.683493164507762;0.0291022296635697;0.136750954876034
83;0.632453078400742;0.00639449273845738;0.0687174389140948
84;0.419939904475024;0.00634964533175864;0.0913317437419183
85;0.448223668966342;-0.00503412140193005;0.0431282561085906
86;0.235710495040624;0.00341587747688488;0.0827359907913323
87;0.198838452166503;0.0147024748293929;0.0855240045744354
88;0.142136380963771;0.017490488612496;0.0741477124085299
89;0.142087796273181;0.0599310844850396;0.102431476899848
90;0.054224251982629;0.025895640084612;0.108048614588861
91;0.0768348195265609;0.0315090404897336;0.147660086555495
92;0.0371299154626383;0.107951445207681;0.280755977785585
93;0.0455761770575616;0.133402348509197;0.371358951168649
94;0.0370364833653494;0.164515236906426;0.422305605178381
95;0.0454827449602726;0.376931241450963;0.427922742867394
96;0.0794322318311944;0.272070530021602;0.756486056193801
97;0.158707497738943;0.334341154222757;0.807432710203533
98;0.237975289078909;0.167153759333866;0.997185825229656
99;0.433397863768528;0.144446022408754;0.728015427507904
100;0.620321854888741;0.0282538662201857;0.55516231023941
101;0.68542907756359;0.0197066979601903;0.549451740453108
102;0.736375731573322;0.00266468341468151;0.345440887380687
103;0.693830491751815;0.00828555838758605;0.393550942916726
104;0.750446605425041;0.00257125131739255;0.345347455283398
105;0.543599153878927;0.00535552781660398;0.240479269286254
106;0.452899011114682;0.00247781922010359;0.268763033777572
107;0.424521814526075;0.0307541091436385;0.129904250786698
